metric_a,relationship_type,metric_b,reasoning
WIRELESS NET ADDS NEW CUSTOMERS,POSITIVELY IMPACTS,WIRELESS NET ADDS,NEW CUSTOMERS DIRECTLY CONTRIBUTE TO THE OVERALL NET ADDS.
WIRELESS NET ADDS NEW CUSTOMERS,POSITIVELY IMPACTS,ARPA,"NEW CUSTOMERS CONTRIBUTE TO THE OVERALL REVENUE BASE, IMPACTING ARPA."
WIRELESS NET ADDS NEW CUSTOMERS,POSITIVELY IMPACTS,NPS SCORE,NEW CUSTOMERS' EXPERIENCE DIRECTLY IMPACTS NPS.
WIRELESS NET ADDS NEW CUSTOMERS,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,SERVICE QUALITY IMPACTS NEW CUSTOMER SATISFACTION AND CHURN.
WIRELESS NET ADDS AAL,POSITIVELY IMPACTS,NPS SCORE,"AALS INDICATE CUSTOMER SATISFACTION, IMPACTING NPS."
WIRELESS NET ADDS AAL,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,SERVICE QUALITY IMPACTS AALS THROUGH CUSTOMER SATISFACTION.
WIRELESS PORT OUT,NEGATIVELY IMPACTS,ARPA,"PORT OUTS REDUCE REVENUE, IMPACTING ARPA."
WIRELESS PORT OUT,NEGATIVELY IMPACTS,NPS SCORE,"PORT OUTS INDICATE CUSTOMER DISSATISFACTION, IMPACTING NPS."
WIRELESS PORT OUT,POSITIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,POOR SERVICE MAY LEAD TO PORT OUTS.
WIRELESS PORT IN,POSITIVELY IMPACTS,ARPA,"PORT INS INCREASE REVENUE, IMPACTING ARPA."
WIRELESS PORT IN,POSITIVELY IMPACTS,NPS SCORE,"PORT INS MAY INDICATE POSITIVE WORD-OF-MOUTH, IMPACTING NPS."
WIRELESS PORT IN,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,SERVICE QUALITY IMPACTS PORT-IN DECISIONS.
ARPA,POSITIVELY IMPACTS,NPS SCORE,HIGH NPS LEADS TO HIGHER ARPU THROUGH INCREASED LOYALTY AND WILLINGNESS TO SPEND.
ARPA,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,POOR SERVICE CAN NEGATIVELY IMPACT ARPA.
NPS SCORE,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,"LONGER CALL HANDLING TIMES INDICATE POOR SERVICE, NEGATIVELY IMPACTING NPS."
WIRELESS NET ADDS,POSITIVELY IMPACTS,NPS SCORE,"NET ADDS REFLECT CUSTOMER SATISFACTION AND LOYALTY, IMPACTING NPS."
WIRELESS NET ADDS,NEGATIVELY IMPACTS,AVERAGE CALL HANDLING TIME - SERVICE,"SERVICE QUALITY IMPACTS CUSTOMER ACQUISITION AND RETENTION, AFFECTING NET ADDS."
WIRELESS CHURN RATE,NEGATIVELY IMPACTS,ARPA,"CHURN REDUCES REVENUE, IMPACTING ARPA."
